frequency,channel,power,log_power,patient
23.681640625,Fp2,9.620108033244812e-13,-12.01682005083343,Healthy
23.92578125,Fp2,9.445335408837384e-13,-12.024782615442424,Healthy
24.169921875,Fp2,8.513173511319473e-13,-12.069908514940687,Healthy
24.4140625,Fp2,9.663208823855204e-13,-12.014878635169527,Healthy
24.658203125,Fp2,8.48181657574992e-13,-12.071511123647236,Healthy
24.90234375,Fp2,8.602940394526798e-13,-12.065353086098217,Healthy
25.146484375,Fp2,9.474115909240095e-13,-12.023461306283654,Healthy
25.390625,Fp2,9.48077954093929e-13,-12.023155952070203,Healthy
25.634765625,Fp2,8.57090786581639e-13,-12.066973173382324,Healthy
25.87890625,Fp2,8.58827195687147e-13,-12.066094211616024,Healthy
26.123046875,Fp2,8.359150375293536e-13,-12.077837862043404,Healthy
26.3671875,Fp2,9.495169490587533e-13,-12.022497278618388,Healthy
26.611328125,Fp2,8.110161650624799e-13,-12.090970489404787,Healthy
26.85546875,Fp2,7.54399466696447e-13,-12.12239862728408,Healthy
27.099609375,Fp2,8.165781442798133e-13,-12.088002248152549,Healthy
27.34375,Fp2,7.373460475962199e-13,-12.132328643361948,Healthy
27.587890625,Fp2,7.186367377222851e-13,-12.143490584818206,Healthy
27.83203125,Fp2,7.351718398937892e-13,-12.133611136568843,Healthy
28.076171875,Fp2,7.105026308498444e-13,-12.148434309627495,Healthy
28.3203125,Fp2,6.673498876194287e-13,-12.17564640833071,Healthy
28.564453125,Fp2,6.80456729105017e-13,-12.167199486784549,Healthy
28.80859375,Fp2,6.838699777417145e-13,-12.165026461608836,Healthy
29.052734375,Fp2,7.171460464746908e-13,-12.144392391446338,Healthy
29.296875,Fp2,7.223740075921869e-13,-12.141237889165165,Healthy
29.541015625,Fp2,6.666927306759216e-13,-12.176074280204489,Healthy
29.78515625,Fp2,7.382818366331749e-13,-12.13177781605135,Healthy
30.029296875,Fp2,7.23352209098949e-13,-12.140650187874972,Healthy
30.2734375,Fp2,7.105725839559722e-13,-12.148391552920897,Healthy
30.517578125,Fp2,6.183414921296233e-13,-12.20877161036941,Healthy
30.76171875,Fp2,6.054947661849362e-13,-12.21788960648761,Healthy
31.005859375,Fp2,6.321565127475763e-13,-12.199175383414753,Healthy
31.25,Fp2,6.618828013334168e-13,-12.179218903672387,Healthy
31.494140625,Fp2,6.113755609269971e-13,-12.213691925712451,Healthy
31.73828125,Fp2,6.208075490616174e-13,-12.207043010667602,Healthy
31.982421875,Fp2,6.687307209311247e-13,-12.174748725215828,Healthy
32.2265625,Fp2,5.746906392712249e-13,-12.2405658767239,Healthy
32.470703125,Fp2,5.894798961142705e-13,-12.229531001689365,Healthy
32.71484375,Fp2,7.076625585271447e-13,-12.150173781723003,Healthy
32.958984375,Fp2,6.489391119153869e-13,-12.18779604988634,Healthy
33.203125,Fp2,6.467379392138662e-13,-12.189271661539452,Healthy
33.447265625,Fp2,6.613022158148189e-13,-12.179600022109966,Healthy
33.69140625,Fp2,6.993110791470158e-13,-12.155329591201635,Healthy
33.935546875,Fp2,5.785993970211819e-13,-12.237622023281382,Healthy
34.1796875,Fp2,6.015535814786327e-13,-12.220725683196765,Healthy
34.423828125,Fp2,6.230467193665317e-13,-12.205479386402889,Healthy
34.66796875,Fp2,5.828312121111029e-13,-12.234457198692276,Healthy
34.912109375,Fp2,5.91741914860446e-13,-12.227867667248448,Healthy
35.15625,Fp2,5.878843053855039e-13,-12.230708133917831,Healthy
35.400390625,Fp2,6.319749698007997e-13,-12.199300122180686,Healthy
35.64453125,Fp2,5.895422547598482e-13,-12.229485061898194,Healthy
35.888671875,Fp2,5.709501021955558e-13,-12.243401844973128,Healthy
36.1328125,Fp2,5.984717828870535e-13,-12.22295632115621,Healthy
36.376953125,Fp2,6.74872577458721e-13,-12.170778218473393,Healthy
36.62109375,Fp2,6.013229426047942e-13,-12.22089222596228,Healthy
36.865234375,Fp2,5.938935828870084e-13,-12.226291367317383,Healthy
37.109375,Fp2,6.037492109869599e-13,-12.219143423800238,Healthy
37.353515625,Fp2,5.947055934688993e-13,-12.225697976750002,Healthy
37.59765625,Fp2,5.918564515933596e-13,-12.227783613953603,Healthy
37.841796875,Fp2,5.957685808251388e-13,-12.22492240399789,Healthy
38.0859375,Fp2,5.15700849284623e-13,-12.287602153372571,Healthy
38.330078125,Fp2,5.877460449089645e-13,-12.230810284670044,Healthy
38.57421875,Fp2,6.104986260953139e-13,-12.214315309081744,Healthy
38.818359375,Fp2,5.514718365125671e-13,-12.258476661935488,Healthy
39.0625,Fp2,5.939928749386888e-13,-12.226218764435254,Healthy
39.306640625,Fp2,5.403446976623616e-13,-12.267329105854824,Healthy
39.55078125,Fp2,5.410609184117465e-13,-12.266753834633482,Healthy
39.794921875,Fp2,6.018392517236501e-13,-12.220519491153796,Healthy
0.0,F3,2.656724106809278e-09,-8.575653543486423,Healthy
0.244140625,F3,2.376777140865502e-08,-7.624011538099257,Healthy
0.48828125,F3,4.8047165651981555e-09,-8.318332226684523,Healthy
0.732421875,F3,1.1940963275048e-09,-8.922960637347057,Healthy
0.9765625,F3,6.165459502840696e-10,-9.210034550518127,Healthy
1.220703125,F3,4.4589328347479455e-10,-9.350769069412678,Healthy
1.46484375,F3,3.6576036837628445e-10,-9.436803353884038,Healthy
1.708984375,F3,2.518203383145349e-10,-9.59890919694034,Healthy
1.953125,F3,1.560733146195999e-10,-9.806671346163514,Healthy
2.197265625,F3,1.3914008922826855e-10,-9.856547722472316,Healthy
2.44140625,F3,1.2992963379710184e-10,-9.88629178559515,Healthy
2.685546875,F3,1.3059560163477975e-10,-9.88407144953806,Healthy
2.9296875,F3,1.1550362275130539e-10,-9.93740439398632,Healthy
3.173828125,F3,8.802664075516962e-11,-10.05538587123619,Healthy
3.41796875,F3,6.444230907702968e-11,-10.190828906467504,Healthy
3.662109375,F3,6.432482658025549e-11,-10.191621375974044,Healthy
3.90625,F3,5.064328389056733e-11,-10.295478140879476,Healthy
4.150390625,F3,4.6246406909396254e-11,-10.33492200389879,Healthy
4.39453125,F3,3.547414938226314e-11,-10.450088009486228,Healthy
4.638671875,F3,2.9088767143966e-11,-10.536274684869086,Healthy
4.8828125,F3,2.6422525696987623e-11,-10.578025671057697,Healthy
5.126953125,F3,2.6476310439452206e-11,-10.577142535373884,Healthy
5.37109375,F3,2.4025682347648694e-11,-10.619324269190722,Healthy
5.615234375,F3,1.9240283034748308e-11,-10.715788543549492,Healthy
5.859375,F3,1.3518748127239075e-11,-10.869063523379925,Healthy
6.103515625,F3,1.5186094909715597e-11,-10.8185538902057,Healthy
6.34765625,F3,1.5053815427402372e-11,-10.822353413089315,Healthy
6.591796875,F3,1.1383837716429756e-11,-10.943711304013144,Healthy
6.8359375,F3,9.370948785196379e-12,-11.02821643565278,Healthy
7.080078125,F3,9.181021127349259e-12,-11.03710901320938,Healthy
7.32421875,F3,9.49807936984944e-12,-11.022364205595904,Healthy
7.568359375,F3,8.419417764907814e-12,-11.074717940594256,Healthy
7.8125,F3,6.881219323636956e-12,-11.162334599757544,Healthy
8.056640625,F3,6.716343818466622e-12,-11.17286707985965,Healthy
8.30078125,F3,6.873313716158705e-12,-11.162833833293432,Healthy
8.544921875,F3,7.175946299148104e-12,-11.144120819973846,Healthy
8.7890625,F3,8.756517328218817e-12,-11.057668588566658,Healthy
9.033203125,F3,8.408869869137245e-12,-11.075262368361164,Healthy
